theta_A\theta_B,0,45,90,135,180,225,270,315
0,-,-,17.36 (60),8.05 (101),5.19 (148),8.05 (212),17.36 (408),-
45,29.76 (129),-,28.86 (32),11.65 (73),7.69 (119),11.65 (187),28.86 (553),-
90,14.02 (167),24.23 (244),-,24.47 (40),14.25 (87),24.47 (180),-,24.23 (114)
135,7.63 (166),11.66 (229),29.22 (568),-,30.07 (58),-,29.22 (75),11.66 (121)
180,5.21 (145),8.15 (206),17.71 (396),-,-,-,17.71 (61),8.15 (101)
225,7.63 (115),11.66 (180),29.22 (526),-,30.07 (132),-,29.22 (33),11.66 (72)
270,14.02 (83),24.23 (169),-,24.47 (113),14.25 (169),24.47 (253),-,24.23 (39)
315,29.76 (54),-,28.86 (73),11.65 (120),7.69 (168),11.65 (235),28.86 (594),-
