theta_A\theta_B,0,45,90,135,180,225,270,315
0,-,-,17.68 (99.1),8.29 (179.3),5.49 (278.4),8.29 (426.2),17.68 (1028.4),-
45,27.69 (208.6),-,30.11 (54.2),12.33 (132.5),8.34 (231.6),12.33 (392.5),30.11 (2202.1),-
90,13.67 (272.8),24.34 (419.9),-,26.23 (75.9),15.51 (177.2),26.23 (430.0),-,24.34 (183.9)
135,7.81 (273.8),12.41 (389.8),33.19 (1785.7),-,30.49 (126.6),-,33.19 (119.9),12.41 (200.5)
180,5.58 (239.8),9.04 (352.0),20.74 (911.9),-,-,-,20.74 (103.3),9.04 (169.7)
225,7.81 (191.2),12.41 (310.1),33.19 (1721.5),-,30.49 (231.4),-,33.19 (55.6),12.41 (120.8)
270,13.67 (138.6),24.34 (302.0),-,26.23 (182.3),15.51 (296.9),26.23 (536.4),-,24.34 (66.0)
315,27.69 (91.1),-,30.11 (115.1),12.33 (205.1),8.34 (306.5),12.33 (465.2),30.11 (2263.0),-
