theta_A\theta_B,0,45,90,135,180,225,270,315
0,-,-,-,32.23 (52.4),16.74 (98.4),32.23 (305.8),-,-
45,83.67 (76.7),-,-,40.32 (43.9),21.45 (90.3),40.32 (335.1),-,-
90,52.37 (97.4),86.36 (773.8),-,66.50 (29.9),32.47 (78.4),66.50 (892.9),-,86.36 (47.9)
135,28.94 (114.7),41.60 (243.3),-,-,52.48 (63.9),-,-,41.60 (70.3)
180,18.10 (112.7),26.57 (213.7),-,-,-,-,-,26.57 (69.8)
225,28.94 (94.4),41.60 (224.1),-,-,52.48 (88.5),-,-,41.60 (51.2)
270,52.37 (74.9),86.36 (755.0),-,66.50 (48.5),32.47 (100.7),66.50 (911.5),-,86.36 (29.1)
315,83.67 (62.1),-,-,40.32 (55.4),21.45 (102.6),40.32 (346.6),-,-
