theta_A\theta_B,0,45,90,135,180,225,270,315
0,N/A,N/A,N/A,16.54 (139.35),10.34 (237.72),16.54 (458.42),N/A,N/A
45,44.05 (155.81),N/A,N/A,23.57 (108.03),15.14 (206.86),23.57 (464.23),N/A,N/A
90,25.08 (199.81),44.85 (540.97),N/A,46.22 (65.84),26.35 (168.33),46.22 (805.49),N/A,44.85 (115.57)
135,14.83 (212.94),23.81 (390.59),N/A,N/A,45.13 (133.75),N/A,N/A,23.81 (140.26)
180,10.60 (197.90),17.42 (358.02),N/A,N/A,N/A,N/A,N/A,17.42 (128.12)
225,14.83 (167.18),23.81 (347.22),N/A,N/A,45.13 (187.37),N/A,N/A,23.81 (96.89)
270,25.08 (130.85),44.85 (482.62),N/A,46.22 (120.65),26.35 (232.49),46.22 (860.31),N/A,44.85 (57.23)
315,44.05 (98.62),N/A,N/A,23.57 (149.12),15.14 (250.02),23.57 (505.32),N/A,N/A
