theta_A\theta_B,0,45,90,135,180,225,270,315
0,N/A,88.36 (104.83),59.22 (119.76),34.87 (142.50),22.94 (162.27),34.87 (161.57),59.22 (140.58),88.36 (118.55)
45,N/A,N/A,N/A,52.81 (70.92),35.77 (91.82),52.81 (88.60),N/A,N/A
90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
180,19.91 (178.99),25.94 (181.64),39.06 (175.79),58.73 (159.99),N/A,58.73 (138.33),39.06 (155.62),25.94 (170.06)
225,39.89 (78.41),50.03 (79.12),N/A,N/A,N/A,N/A,N/A,50.03 (68.46)
270,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
315,N/A,N/A,N/A,52.81 (599.38),35.77 (463.67),52.81 (617.06),N/A,N/A
