theta_A\theta_B,0,45,90,135,180,225,270,315
0,N/A,N/A,N/A,N/A,22.73 (304.85),N/A,N/A,N/A
45,89.38 (270.93),N/A,N/A,N/A,29.38 (295.05),N/A,N/A,N/A
90,63.32 (297.17),N/A,N/A,N/A,43.20 (277.98),N/A,N/A,N/A
135,38.86 (325.57),N/A,N/A,N/A,61.98 (257.53),N/A,N/A,61.81 (138.69)
180,26.03 (331.08),N/A,N/A,N/A,N/A,N/A,N/A,43.10 (149.41)
225,38.86 (307.80),N/A,N/A,N/A,61.98 (278.04),N/A,N/A,61.81 (122.45)
270,63.32 (277.98),N/A,N/A,N/A,43.20 (297.17),N/A,N/A,N/A
315,89.38 (258.04),N/A,N/A,N/A,29.38 (306.25),N/A,N/A,N/A
