theta_A\theta_B,0,45,90,135,180,225,270,315
0,-,-,-,25.52 (196.4),14.81 (374.0),25.52 (1288.3),-,-
45,52.03 (301.6),-,-,34.45 (160.9),20.67 (340.6),34.45 (1599.2),-,-
90,33.86 (352.5),-,-,-,33.39 (295.0),-,-,-
135,20.86 (382.2),34.49 (1605.2),-,-,51.34 (254.3),-,-,34.49 (199.7)
180,14.85 (375.7),25.39 (1264.3),-,-,-,-,-,25.39 (198.2)
225,20.86 (341.4),34.49 (1567.3),-,-,51.34 (302.2),-,-,34.49 (161.8)
270,33.86 (295.0),-,-,-,33.39 (352.5),-,-,-
315,52.03 (254.4),-,-,34.45 (198.2),20.67 (380.8),34.45 (1636.5),-,-
