theta_A\theta_B,0,45,90,135,180,225,270,315
0,-,-,-,39.89 (78.4),19.91 (179.0),39.89 (1969.9),-,-
45,88.36 (118.6),-,-,50.03 (68.5),25.94 (170.1),50.03 (3798.1),-,-
90,59.22 (140.6),-,-,-,39.06 (155.6),-,-,-
135,34.87 (161.6),52.81 (617.1),-,-,58.73 (138.3),-,-,52.81 (88.6)
180,22.94 (162.3),35.77 (463.7),-,-,-,-,-,35.77 (91.8)
225,34.87 (142.5),52.81 (599.4),-,-,58.73 (160.0),-,-,52.81 (70.9)
270,59.22 (119.8),-,-,-,39.06 (175.8),-,-,-
315,88.36 (104.8),-,-,50.03 (79.1),25.94 (181.6),50.03 (3808.7),-,-
