theta_A\theta_B,0,45,90,135,180,225,270,315
0,N/A,89.38 (258.04),63.32 (277.98),38.86 (307.80),26.03 (331.08),38.86 (325.57),63.32 (297.17),89.38 (270.93)
45,N/A,N/A,N/A,61.81 (122.45),43.10 (149.41),61.81 (138.69),N/A,N/A
90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
180,22.73 (304.85),29.38 (306.25),43.20 (297.17),61.98 (278.04),N/A,61.98 (257.53),43.20 (277.98),29.38 (295.05)
225,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
270,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
315,N/A,N/A,N/A,N/A,43.10 (4239.98),N/A,N/A,N/A
