theta_A\theta_B,0,45,90,135,180,225,270,315
0,N/A,41.64 (249.40),25.34 (307.03),14.99 (373.73),10.46 (427.07),14.99 (444.67),25.34 (408.48),41.64 (331.46)
45,N/A,N/A,45.03 (120.83),23.87 (196.33),17.14 (251.07),23.87 (263.13),45.03 (205.93),N/A
90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
135,17.43 (946.04),23.82 (1062.02),44.03 (2381.45),N/A,N/A,N/A,44.03 (2296.36),23.82 (997.91)
180,10.40 (421.00),14.63 (439.21),24.34 (408.48),40.07 (334.54),N/A,40.07 (248.87),24.34 (307.03),14.63 (371.05)
225,17.43 (244.92),23.82 (257.65),44.03 (205.93),N/A,N/A,N/A,44.03 (120.83),23.82 (193.54)
270,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
315,N/A,N/A,45.03 (2296.36),23.87 (974.91),17.14 (926.85),23.87 (1041.71),45.03 (2381.45),N/A
