theta_A\theta_B,0,45,90,135,180,225,270,315
0,N/A,30.55 (237.40),16.10 (327.42),8.43 (442.37),5.32 (550.35),8.43 (602.82),16.10 (550.17),30.55 (402.94)
45,N/A,N/A,26.39 (144.83),12.02 (265.14),7.73 (373.40),12.02 (420.28),26.39 (339.03),N/A
90,22.95 (7235.93),N/A,N/A,28.25 (114.28),15.83 (217.32),28.25 (240.26),N/A,N/A
135,9.07 (830.69),11.93 (901.32),21.87 (1053.57),N/A,N/A,N/A,21.87 (859.37),11.93 (779.65)
180,5.23 (495.11),7.02 (546.58),11.58 (550.17),21.94 (452.31),N/A,21.94 (230.09),11.58 (327.42),7.02 (419.69)
225,9.07 (319.02),11.93 (364.49),21.87 (339.03),N/A,N/A,N/A,21.87 (144.83),11.93 (242.82)
270,22.95 (172.99),N/A,N/A,28.25 (5605.54),15.83 (2036.41),28.25 (5731.51),N/A,N/A
315,N/A,N/A,26.39 (859.37),12.02 (745.52),7.73 (822.69),12.02 (900.66),26.39 (1053.57),N/A
