theta_A\theta_B,0,45,90,135,180,225,270,315
0,N/A,29.76 (54.24),14.02 (83.46),7.63 (115.25),5.21 (144.58),7.63 (165.69),14.02 (167.04),29.76 (129.36)
45,N/A,N/A,24.23 (39.05),11.66 (71.81),8.15 (101.21),11.66 (120.94),24.23 (114.09),N/A
90,17.36 (408.36),28.86 (594.25),N/A,29.22 (32.63),17.71 (61.30),29.22 (74.53),N/A,28.86 (553.28)
135,8.05 (212.06),11.65 (234.95),24.47 (253.14),N/A,N/A,N/A,24.47 (179.70),11.65 (187.15)
180,5.19 (147.59),7.69 (167.92),14.25 (168.81),30.07 (131.62),N/A,30.07 (57.54),14.25 (87.19),7.69 (118.89)
225,8.05 (101.46),11.65 (120.50),24.47 (113.48),N/A,N/A,N/A,24.47 (40.04),11.65 (72.70)
270,17.36 (60.28),28.86 (73.27),N/A,29.22 (525.78),17.71 (395.74),29.22 (567.68),N/A,28.86 (32.30)
315,N/A,N/A,24.23 (169.43),11.66 (179.72),8.15 (205.66),11.66 (228.85),24.23 (244.46),N/A
