theta_A\theta_B,0,45,90,135,180,225,270,315
0,-,-,22.95 (172.99),9.07 (319.02),5.23 (495.11),9.07 (830.69),-,-
45,30.55 (402.94),-,-,11.93 (242.82),7.02 (419.69),11.93 (779.65),-,-
90,16.10 (550.17),-,-,21.87 (144.83),11.58 (327.42),21.87 (859.37),-,26.39 (339.03)
135,8.43 (602.82),12.02 (900.66),-,-,21.94 (230.09),-,28.25 (240.26),12.02 (420.28)
180,5.32 (550.35),7.73 (822.69),-,-,-,-,15.83 (217.32),7.73 (373.40)
225,8.43 (442.37),12.02 (745.52),-,-,21.94 (452.31),-,28.25 (114.28),12.02 (265.14)
270,16.10 (327.42),26.39 (859.37),-,21.87 (339.03),11.58 (550.17),-,-,26.39 (144.83)
315,30.55 (237.40),-,-,11.93 (364.49),7.02 (546.58),11.93 (901.32),-,-
