theta_A\theta_B,0,45,90,135,180,225,270,315
0,-,-,-,24.11 (40),12.61 (68),24.11 (141),-,-
45,76.74 (54),-,-,29.88 (33),15.81 (60),29.88 (140),-,-
90,43.75 (74),69.51 (193),-,49.60 (21),23.84 (50),49.60 (177),-,69.51 (42)
135,22.44 (88),30.49 (138),67.99 (6195),-,41.75 (37),-,67.99 (33),30.49 (60)
180,13.22 (83),18.15 (126),34.91 (353),-,-,-,34.91 (32),18.15 (56)
225,22.44 (66),30.49 (117),67.99 (6178),-,41.75 (66),-,67.99 (16),30.49 (39)
270,43.75 (49),69.51 (172),-,49.60 (42),23.84 (75),49.60 (199),-,69.51 (21)
315,76.74 (38),-,-,29.88 (45),15.81 (73),29.88 (152),-,-
